Word,Frequency
a,164
about,4
above,4
after,9
again,1
against,3
all,3
am,3
an,78
and,85
any,10
are,28
aren't,28
as,83
at,73
be,24
because,2
been,7
before,7
being,1
below,1
between,5
both,5
but,20
by,15
can't,15
cannot,15
could,3
couldn't,3
did,1
didn't,1
do,9
does,2
doesn't,2
doing,2
don't,2
down,1
during,9
each,2
few,2
for,41
from,20
further,1
had,2
hadn't,2
has,22
hasn't,22
have,30
haven't,30
having,6
he,263
he'd,263
he'll,263
he's,263
her,23
here,15
here's,15
hers,2
herself,1
him,8
himself,2
his,48
how,3
how's,3
i,15
i'd,15
i'll,15
i'm,1
i've,1
if,5
in,136
into,6
is,81
isn't,81
it,25
it's,25
its,4
itself,1
let's,1
me,45
more,12
most,2
mustn't,2
my,7
myself,7
no,7
nor,1
not,8
of,113
off,3
on,101
once,3
only,2
or,63
other,5
ought,5
our,5
ours,5
ourselves,5
out,11
over,9
own,9
same,6
shan't,6
she,12
she'd,12
she'll,12
she's,12
should,4
shouldn't,4
so,11
some,9
such,7
than,2
that,40
that's,40
the,225
their,14
theirs,14
them,5
themselves,5
then,2
there,8
there's,8
these,4
they,14
they'd,14
they'll,14
they're,14
they've,14
this,13
those,2
through,4
to,128
too,1
under,3
until,2
up,9
very,3
was,15
wasn't,15
we,6
we'd,6
we'll,6
we're,6
we've,6
were,6
weren't,6
what,6
what's,6
when,10
when's,10
where,5
where's,5
which,8
while,7
who,25
who's,25
whom,25
why,25
why's,25
with,33
won't,33
would,4
wouldn't,4
you,6
you'd,6
you'll,6
you're,6
you've,6
your,2
yours,2
yourself,2
yourselves,2
