Word,Frequency
a,22
about,6
above,6
after,2
again,2
against,2
all,2
am,1
an,14
and,24
any,1
are,28
aren't,28
as,10
at,14
be,7
because,7
been,4
before,4
being,4
below,4
between,4
both,4
but,4
by,3
can't,3
cannot,3
could,1
couldn't,1
did,1
didn't,1
do,1
does,1
doesn't,1
doing,1
don't,1
down,1
during,1
each,1
few,1
for,11
from,4
further,4
had,1
hadn't,1
has,5
hasn't,5
have,4
haven't,4
having,4
he,51
he'd,51
he'll,51
he's,51
her,4
here,3
here's,3
hers,3
herself,3
him,3
himself,3
his,26
how,4
how's,4
i,4
i'd,4
i'll,4
i'm,4
i've,4
if,1
in,26
into,2
is,31
isn't,31
it,7
it's,7
its,7
itself,7
let's,7
me,14
more,4
most,3
mustn't,3
my,4
myself,4
no,4
nor,4
not,2
of,20
off,20
on,24
once,24
only,2
or,14
other,2
ought,2
our,14
ours,14
ourselves,14
out,10
over,1
own,1
same,1
shan't,1
she,1
she'd,1
she'll,1
she's,1
should,1
shouldn't,1
so,1
some,2
such,2
than,2
that,8
that's,8
the,49
their,49
theirs,49
them,1
themselves,1
then,1
there,1
there's,1
these,3
they,1
they'd,1
they'll,1
they're,1
they've,1
this,26
those,26
through,26
to,39
too,2
under,2
until,2
up,4
very,4
was,4
wasn't,4
we,1
we'd,1
we'll,1
we're,1
we've,1
were,1
weren't,1
what,1
what's,1
when,1
when's,1
where,1
where's,1
which,3
while,3
who,3
who's,1
whom,1
why,2
why's,2
with,18
won't,18
would,18
wouldn't,18
you,3
you'd,3
you'll,3
you're,3
you've,3
your,10
yours,10
yourself,10
yourselves,10
